InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
537711,87240,Product 11,17,04/08/2023 05:21,80.0,11021,Indonesia
506530,42793,Product 15,2,08/28/2023 15:32,74.12,13696,Indonesia
511116,56473,Product 12,2,07/20/2023 05:15,7.32,19670,Indonesia
565794,99388,Product 8,12,12/15/2023 02:19,39.34,17408,Indonesia
500282,98330,Product 6,6,09/09/2023 03:18,28.99,16949,Indonesia
579473,65751,Product 3,10,12/12/2023 02:18,31.14,19167,Indonesia
501898,88915,Product 13,16,05/28/2023 06:51,98.31,18958,Indonesia
504135,64254,Product 13,14,05/08/2023 06:17,64.63,16019,Indonesia
506629,17006,Product 2,7,12/26/2023 00:10,72.05,15578,Indonesia
585120,84218,Product 5,19,05/31/2023 09:34,97.69,18901,Indonesia
589087,75344,Product 17,17,09/20/2023 15:25,38.34,10995,Indonesia
565031,43840,Product 6,9,04/22/2023 19:48,80.38,11853,Indonesia
533380,42430,Product 2,13,01/02/2023 00:47,44.02,18571,Indonesia
517071,33091,Product 4,5,09/11/2023 11:04,87.08,14737,Indonesia
520074,42983,Product 11,5,02/06/2023 22:08,18.89,13890,Indonesia
590724,33989,Product 8,10,08/21/2023 02:18,94.82,11495,Indonesia
567843,85451,Product 12,10,10/31/2023 15:02,22.66,17892,Indonesia
539901,28990,Product 8,7,06/01/2023 21:55,33.3,11528,Indonesia
511205,90360,Product 11,15,06/10/2023 19:10,75.86,18996,Indonesia
555661,46081,Product 8,7,04/23/2023 07:35,39.98,18433,Indonesia
505906,21033,Product 8,15,04/14/2023 19:34,61.21,11484,Indonesia
502591,26241,Product 17,3,04/22/2023 02:24,45.01,15675,Indonesia
562987,15939,Product 16,19,12/15/2023 17:45,74.49,11585,Indonesia
563370,57562,Product 14,10,12/04/2023 01:53,23.6,18666,Indonesia
580685,45063,Product 11,15,06/12/2023 15:40,6.79,17629,Indonesia
554400,86721,Product 7,3,06/10/2023 03:32,30.69,19167,Indonesia
525150,37045,Product 16,6,10/04/2023 15:19,47.96,15393,Indonesia
531852,54769,Product 13,12,05/15/2023 02:16,17.63,10391,Indonesia
542870,57118,Product 15,15,05/08/2023 00:47,36.12,18322,Indonesia
552756,94703,Product 16,6,01/22/2023 13:29,40.6,13073,Indonesia
556481,31625,Product 9,13,02/07/2023 05:44,6.68,16585,Indonesia
501283,37076,Product 3,19,02/20/2023 21:07,58.75,18901,Indonesia
533691,74805,Product 19,3,10/10/2023 01:20,88.55,13510,Indonesia
501125,54605,Product 5,8,10/13/2023 00:27,16.02,17916,Indonesia
567065,94565,Product 10,8,11/13/2023 15:18,60.18,13581,Indonesia
526170,98509,Product 17,15,01/04/2023 02:48,66.81,17555,Indonesia
508438,49121,Product 15,4,01/17/2023 11:27,42.51,15915,Indonesia
520095,75101,Product 8,19,06/07/2023 13:52,70.41,19721,Indonesia
516154,41433,Product 15,3,01/06/2023 02:40,41.66,12027,Indonesia
508004,53309,Product 14,13,02/06/2023 16:45,50.96,12047,Indonesia
509752,77468,Product 7,8,06/30/2023 02:32,1.73,19167,Indonesia
555426,54254,Product 12,16,04/26/2023 20:31,69.48,14931,Indonesia
526819,77293,Product 17,13,06/10/2023 02:17,66.47,14389,Indonesia
592051,47853,Product 17,3,10/08/2023 09:30,4.8,13073,Indonesia
524217,48405,Product 10,16,02/23/2023 02:39,37.46,18226,Indonesia
588708,76652,Product 19,9,06/23/2023 17:31,97.92,15892,Indonesia
532994,53527,Product 14,14,12/08/2023 22:01,42.65,10391,Indonesia
515036,87227,Product 11,13,05/07/2023 09:01,50.69,14426,Indonesia
577275,10492,Product 2,7,09/30/2023 07:32,91.08,15864,Indonesia
597756,18811,Product 18,15,10/26/2023 21:47,72.01,17280,Indonesia
549416,34272,Product 7,7,02/08/2023 09:54,58.62,10663,Indonesia
509587,82010,Product 12,6,01/26/2023 02:49,79.98,12558,Indonesia
595665,57153,Product 2,2,01/13/2023 06:56,86.57,11306,Indonesia
500645,64110,Product 18,9,02/05/2023 12:19,46.23,15530,Indonesia
530930,23979,Product 6,17,11/17/2023 07:45,48.04,17280,Indonesia
581835,38328,Product 10,5,05/22/2023 11:50,39.22,19555,Indonesia
530090,22867,Product 15,12,05/23/2023 01:01,96.7,13561,Indonesia
587489,69234,Product 5,1,10/15/2023 22:21,70.02,16528,Indonesia
552142,35851,Product 3,10,02/20/2023 21:57,9.24,12327,Indonesia
526475,41279,Product 5,11,02/27/2023 21:48,86.43,16863,Indonesia
518888,83402,Product 8,16,06/29/2023 09:05,48.58,19167,Indonesia
543732,25449,Product 8,14,09/28/2023 21:42,7.81,10698,Indonesia
581623,86221,Product 8,8,04/11/2023 00:07,55.42,10064,Indonesia
546305,99080,Product 12,17,02/22/2023 11:43,42.3,15056,Indonesia
546037,15451,Product 8,18,01/05/2023 06:03,87.9,12734,Indonesia
509346,97178,Product 11,12,09/19/2023 12:31,21.2,17554,Indonesia
500587,51316,Product 14,17,12/16/2023 14:34,82.82,10202,Indonesia
512763,73064,Product 8,14,11/07/2023 07:51,56.21,13510,Indonesia
559165,73761,Product 10,16,05/24/2023 12:49,6.41,16938,Indonesia
569615,48870,Product 7,14,05/04/2023 09:29,97.21,17869,Indonesia
536116,40873,Product 17,9,05/27/2023 16:55,51.75,11678,Indonesia
585751,68627,Product 4,4,11/15/2023 18:27,29.8,18792,Indonesia
591353,76155,Product 13,11,02/27/2023 22:25,47.47,19687,Indonesia
590301,35372,Product 4,6,08/17/2023 20:22,85.93,17270,Indonesia
595648,13642,Product 5,15,05/07/2023 08:11,31.19,12454,Indonesia
525556,38001,Product 4,5,05/09/2023 00:46,20.07,15915,Indonesia
559042,44064,Product 18,11,10/17/2023 21:47,13.78,13763,Indonesia
518099,24122,Product 6,18,03/30/2023 07:44,30.49,14636,Indonesia
545096,34820,Product 2,13,09/29/2023 06:04,78.22,15977,Indonesia
571986,78431,Product 11,11,10/05/2023 22:02,47.69,11899,Indonesia
513230,65745,Product 14,14,03/17/2023 15:50,23.52,15575,Indonesia
529009,60081,Product 5,18,03/27/2023 13:27,17.45,17734,Indonesia
570969,80902,Product 6,19,03/10/2023 14:48,33.94,11528,Indonesia
533866,18711,Product 10,15,04/04/2023 13:51,94.05,10860,Indonesia
584246,95132,Product 8,9,07/23/2023 15:25,34.96,17270,Indonesia
576975,28793,Product 14,8,12/07/2023 06:35,98.82,11184,Indonesia
541855,18199,Product 3,1,10/16/2023 04:22,49.04,15855,Indonesia
581557,86253,Product 12,4,09/07/2023 09:53,18.74,12790,Indonesia
506416,46191,Product 16,14,11/21/2023 03:33,89.22,17099,Indonesia
572516,20211,Product 17,2,06/29/2023 09:57,46.58,17916,Indonesia
555915,73069,Product 1,16,05/27/2023 00:55,71.26,15486,Indonesia
518058,98896,Product 10,3,11/21/2023 12:03,98.39,18996,Indonesia
576637,66746,Product 10,8,01/16/2023 15:54,5.97,15855,Indonesia
540718,31542,Product 2,6,09/15/2023 16:27,10.57,16235,Indonesia
532602,41312,Product 9,16,06/09/2023 19:23,72.33,16668,Indonesia
574658,55242,Product 13,16,06/27/2023 02:32,28.9,18392,Indonesia
578112,97893,Product 16,7,06/28/2023 10:36,19.25,17280,Indonesia
558067,65388,Product 18,13,09/25/2023 02:00,4.9,18392,Indonesia
527516,37691,Product 19,13,06/17/2023 09:42,3.16,17280,Indonesia
587969,87960,Product 12,5,02/13/2023 12:11,77.67,15056,Indonesia
501089,94388,Product 8,18,04/05/2023 13:01,14.31,16873,Indonesia
537346,32601,Product 17,15,09/10/2023 18:49,47.3,12612,Indonesia
574663,28020,Product 15,18,02/04/2023 22:16,60.98,13840,Indonesia
510487,18155,Product 10,2,03/31/2023 07:28,43.41,13840,Indonesia
500155,79119,Product 15,10,03/31/2023 01:50,3.68,15191,Indonesia
567494,91051,Product 15,13,04/15/2023 06:03,78.57,13152,Indonesia
576229,46777,Product 7,18,11/10/2023 20:49,2.04,10502,Indonesia
538547,29710,Product 13,15,03/16/2023 03:24,76.43,17629,Indonesia
528795,34532,Product 17,12,10/04/2023 03:09,89.44,14426,Indonesia
555296,28601,Product 9,15,12/23/2023 08:23,43.85,13843,Indonesia
521447,73227,Product 8,13,07/11/2023 02:48,54.02,10769,Indonesia
536598,14967,Product 18,18,04/09/2023 15:35,48.22,13073,Indonesia
541814,94289,Product 13,15,04/06/2023 22:31,39.53,16949,Indonesia
590751,30022,Product 16,11,02/06/2023 11:48,88.86,19268,Indonesia
575330,53463,Product 9,19,07/02/2023 12:22,89.5,13099,Indonesia
598745,84671,Product 12,3,08/05/2023 02:40,34.25,18996,Indonesia
587960,15722,Product 12,7,10/13/2023 16:48,61.89,16910,Indonesia
563278,37413,Product 6,14,03/03/2023 19:47,92.76,15530,Indonesia
555077,91050,Product 19,14,08/05/2023 21:12,96.24,16863,Indonesia
571906,95867,Product 7,13,07/06/2023 18:48,51.39,16528,Indonesia
509528,93596,Product 3,12,04/10/2023 11:40,45.83,19167,Indonesia
593812,76732,Product 16,9,03/17/2023 08:06,28.59,12790,Indonesia
550100,22297,Product 18,1,10/11/2023 13:30,95.93,11707,Indonesia
508179,78323,Product 16,19,02/21/2023 18:57,15.14,17994,Indonesia
548781,33816,Product 7,11,05/24/2023 20:04,58.4,18996,Indonesia
555267,50695,Product 4,19,04/09/2023 11:24,28.97,17099,Indonesia
582379,29702,Product 8,18,02/22/2023 22:15,28.62,13104,Indonesia
523952,35242,Product 13,12,02/26/2023 06:44,41.09,19268,Indonesia
553798,65841,Product 13,1,06/30/2023 09:57,99.88,14931,Indonesia
598696,77712,Product 17,19,08/11/2023 04:34,6.44,13696,Indonesia
550939,95663,Product 17,17,08/03/2023 10:10,58.28,13152,Indonesia
529516,63574,Product 5,5,05/26/2023 14:11,9.17,18755,Indonesia
556526,95744,Product 6,3,01/09/2023 09:57,16.3,10206,Indonesia
510449,38482,Product 19,2,09/10/2023 05:06,44.52,15855,Indonesia
550290,19171,Product 13,3,06/23/2023 12:39,51.54,11306,Indonesia
586661,13696,Product 14,8,06/19/2023 08:49,26.62,15892,Indonesia
572954,30058,Product 4,16,10/10/2023 01:04,32.33,17208,Indonesia
522746,30313,Product 7,6,01/29/2023 04:37,9.61,14413,Indonesia
567990,29149,Product 8,13,12/05/2023 07:47,31.02,10854,Indonesia
558810,63521,Product 13,16,12/31/2023 00:21,96.69,12693,Indonesia
583297,55740,Product 6,16,05/25/2023 06:24,94.53,14426,Indonesia
515223,14956,Product 6,3,10/28/2023 03:35,34.15,19268,Indonesia
572237,85731,Product 3,13,03/11/2023 18:43,57.51,11707,Indonesia
502597,92612,Product 3,14,07/01/2023 06:26,91.05,11707,Indonesia
565677,76641,Product 13,8,07/21/2023 18:38,1.61,15393,Indonesia
502659,73811,Product 2,12,05/06/2023 02:44,81.26,17734,Indonesia
586516,62160,Product 16,8,05/21/2023 17:27,94.89,13696,Indonesia
574567,61313,Product 6,9,05/06/2023 19:27,10.04,12047,Indonesia
515037,73232,Product 8,1,11/13/2023 08:38,16.98,17629,Indonesia
546738,25417,Product 8,6,01/01/2023 02:12,96.11,19692,Indonesia
